request_id,audio_file,status,error,duration_s,total_ms,rtf,partials,finals,text
1,vaani_hi_10s/vaani_040.wav,ok,,10.0,11015,1.101,18,1,
2,vaani_hi_10s/vaani_007.wav,ok,,10.0,10944,1.094,16,2,
3,vaani_hi_10s/vaani_001.wav,ok,,10.0,10699,1.07,18,1,
4,vaani_hi_10s/vaani_017.wav,ok,,10.0,10988,1.099,16,2,
5,vaani_hi_10s/vaani_015.wav,ok,,10.0,10643,1.064,13,4,
6,vaani_hi_10s/vaani_014.wav,ok,,10.0,11003,1.1,17,1,
7,vaani_hi_10s/vaani_008.wav,ok,,10.0,10997,1.1,19,1,
8,vaani_hi_10s/vaani_006.wav,ok,,10.0,10638,1.064,18,1,
9,vaani_hi_10s/vaani_034.wav,ok,,10.0,11038,1.104,19,1,
10,vaani_hi_10s/vaani_005.wav,ok,,10.0,11469,1.147,20,1,
11,vaani_hi_10s/vaani_037.wav,ok,,10.0,11076,1.108,18,1,
12,vaani_hi_10s/vaani_027.wav,ok,,10.0,10630,1.063,19,1,
13,vaani_hi_10s/vaani_002.wav,ok,,10.0,11452,1.145,18,1,
14,vaani_hi_10s/vaani_047.wav,ok,,10.0,10627,1.063,15,3,
15,vaani_hi_10s/vaani_049.wav,ok,,10.0,10625,1.063,17,1,
16,vaani_hi_10s/vaani_013.wav,ok,,10.0,10977,1.098,17,1,
17,vaani_hi_10s/vaani_044.wav,ok,,10.0,10467,1.047,12,5,
18,vaani_hi_10s/vaani_032.wav,ok,,10.0,10620,1.062,17,1,
19,vaani_hi_10s/vaani_036.wav,ok,,10.0,11027,1.103,18,1,
20,vaani_hi_10s/vaani_046.wav,ok,,10.0,11222,1.122,17,2,
21,vaani_hi_10s/vaani_042.wav,ok,,10.0,10810,1.081,15,2,
22,vaani_hi_10s/vaani_022.wav,ok,,10.0,10971,1.097,17,1,
23,vaani_hi_10s/vaani_020.wav,ok,,10.0,10657,1.066,18,1,
24,vaani_hi_10s/vaani_028.wav,ok,,10.0,10928,1.093,15,3,
25,vaani_hi_10s/vaani_030.wav,ok,,10.0,10654,1.065,19,1,
26,vaani_hi_10s/vaani_041.wav,ok,,10.0,10601,1.06,16,2,
27,vaani_hi_10s/vaani_048.wav,ok,,10.0,10599,1.06,17,1,
28,vaani_hi_10s/vaani_033.wav,ok,,10.0,11142,1.114,16,1,
29,vaani_hi_10s/vaani_018.wav,ok,,10.0,10953,1.095,17,1,
30,vaani_hi_10s/vaani_043.wav,ok,,10.0,10647,1.065,15,1,
31,vaani_hi_10s/vaani_000.wav,ok,,10.0,11029,1.103,14,1,
32,vaani_hi_10s/vaani_035.wav,ok,,10.0,11105,1.111,17,1,
33,vaani_hi_10s/vaani_024.wav,ok,,10.0,11254,1.125,18,1,
34,vaani_hi_10s/vaani_010.wav,ok,,10.0,10711,1.071,15,3,
35,vaani_hi_10s/vaani_038.wav,ok,,10.0,10636,1.064,18,1,
36,vaani_hi_10s/vaani_039.wav,ok,,10.0,11875,1.187,17,1,
37,vaani_hi_10s/vaani_003.wav,ok,,10.0,10632,1.063,17,2,
38,vaani_hi_10s/vaani_012.wav,ok,,10.0,10577,1.058,14,5,
39,vaani_hi_10s/vaani_021.wav,ok,,10.0,10772,1.077,17,2,
40,vaani_hi_10s/vaani_031.wav,ok,,10.0,11289,1.129,17,1,
41,vaani_hi_10s/vaani_016.wav,ok,,10.0,10864,1.086,14,4,
42,vaani_hi_10s/vaani_029.wav,ok,,10.0,10787,1.079,15,3,
43,vaani_hi_10s/vaani_009.wav,ok,,10.0,11514,1.151,15,3,
44,vaani_hi_10s/vaani_026.wav,ok,,10.0,12470,1.247,19,1,
45,vaani_hi_10s/vaani_045.wav,ok,,10.0,11343,1.134,15,4,
46,vaani_hi_10s/vaani_004.wav,ok,,10.0,10565,1.056,14,4,
47,vaani_hi_10s/vaani_011.wav,ok,,10.0,10613,1.061,17,2,
48,vaani_hi_10s/vaani_019.wav,ok,,10.0,10559,1.056,10,7,
49,vaani_hi_10s/vaani_023.wav,ok,,10.0,10557,1.056,17,1,
50,vaani_hi_10s/vaani_025.wav,ok,,10.0,12016,1.202,17,2,
