request_id,audio_file,status,error,duration_s,total_ms,rtf,partials,finals,text
1,vaani_hi_sample/vaani_040.wav,ok,,2.08,2756,1.325,3,1,
2,vaani_hi_sample/vaani_007.wav,ok,,1.889,2748,1.455,3,1,
3,vaani_hi_sample/vaani_001.wav,ok,,1.706,2755,1.615,3,1,
4,vaani_hi_sample/vaani_017.wav,ok,,4.082,15652,3.834,17,1,
5,vaani_hi_sample/vaani_015.wav,ok,,2.68,15580,5.814,15,2,
6,vaani_hi_sample/vaani_014.wav,ok,,3.259,15894,4.877,17,1,
7,vaani_hi_sample/vaani_008.wav,ok,,2.876,15611,5.428,17,1,
8,vaani_hi_sample/vaani_006.wav,ok,,2.37,12037,5.079,10,1,
9,vaani_hi_sample/vaani_034.wav,ok,,3.62,14380,3.972,13,2,
10,vaani_hi_sample/vaani_005.wav,ok,,2.52,16141,6.405,19,1,
11,vaani_hi_sample/vaani_037.wav,ok,,7.317,15701,2.146,17,1,
12,vaani_hi_sample/vaani_027.wav,ok,,2.238,4931,2.203,6,1,
13,vaani_hi_sample/vaani_002.wav,ok,,4.407,14335,3.253,13,2,
14,vaani_hi_sample/vaani_047.wav,ok,,2.74,15507,5.659,16,1,
15,vaani_hi_sample/vaani_049.wav,ok,,4.832,14019,2.901,12,2,
16,vaani_hi_sample/vaani_013.wav,ok,,5.972,15927,2.667,15,3,
17,vaani_hi_sample/vaani_044.wav,ok,,2.003,13977,6.978,13,1,
18,vaani_hi_sample/vaani_032.wav,ok,,3.71,16015,4.317,16,2,
19,vaani_hi_sample/vaani_036.wav,ok,,2.096,15166,7.235,16,1,
20,vaani_hi_sample/vaani_046.wav,ok,,1.378,2161,1.569,2,1,
21,vaani_hi_sample/vaani_042.wav,ok,,1.643,2276,1.386,2,1,
22,vaani_hi_sample/vaani_022.wav,ok,,2.14,14780,6.906,15,1,
23,vaani_hi_sample/vaani_020.wav,ok,,4.34,5597,1.29,1,6,
24,vaani_hi_sample/vaani_028.wav,ok,,1.924,12360,6.424,11,1,
25,vaani_hi_sample/vaani_030.wav,ok,,2.01,15631,7.777,17,1,
26,vaani_hi_sample/vaani_041.wav,ok,,2.218,15358,6.924,16,1,
27,vaani_hi_sample/vaani_048.wav,ok,,2.61,15943,6.108,16,2,
28,vaani_hi_sample/vaani_033.wav,ok,,2.252,15754,6.995,16,2,
29,vaani_hi_sample/vaani_018.wav,ok,,2.171,15727,7.244,17,1,
30,vaani_hi_sample/vaani_043.wav,ok,,2.076,14522,6.995,14,1,
31,vaani_hi_sample/vaani_000.wav,ok,,2.25,15683,6.97,17,1,
32,vaani_hi_sample/vaani_035.wav,ok,,1.435,2254,1.57,2,1,
33,vaani_hi_sample/vaani_024.wav,ok,,2.22,3066,1.381,2,2,
34,vaani_hi_sample/vaani_010.wav,ok,,3.71,14823,3.995,12,3,
35,vaani_hi_sample/vaani_038.wav,ok,,2.204,15319,6.95,16,1,
36,vaani_hi_sample/vaani_039.wav,ok,,5.559,15948,2.869,16,3,
37,vaani_hi_sample/vaani_003.wav,ok,,2.494,15948,6.394,17,1,
38,vaani_hi_sample/vaani_012.wav,ok,,1.652,2413,1.461,2,1,
39,vaani_hi_sample/vaani_021.wav,ok,,2.83,15984,5.648,17,2,
40,vaani_hi_sample/vaani_031.wav,ok,,2.43,15323,6.306,15,1,
41,vaani_hi_sample/vaani_016.wav,ok,,8.007,16272,2.032,17,4,
42,vaani_hi_sample/vaani_029.wav,ok,,2.97,15392,5.183,16,1,
43,vaani_hi_sample/vaani_009.wav,ok,,3.514,15828,4.504,16,2,
44,vaani_hi_sample/vaani_026.wav,ok,,2.381,15941,6.695,17,1,
45,vaani_hi_sample/vaani_045.wav,ok,,2.06,15955,7.745,18,1,
46,vaani_hi_sample/vaani_004.wav,ok,,2.78,15574,5.602,16,1,
47,vaani_hi_sample/vaani_011.wav,ok,,2.14,15857,7.41,17,1,
48,vaani_hi_sample/vaani_019.wav,ok,,2.15,15490,7.205,16,1,
49,vaani_hi_sample/vaani_023.wav,ok,,3.196,15476,4.842,16,1,
50,vaani_hi_sample/vaani_025.wav,ok,,4.063,15690,3.862,17,1,
