batch_transcript-parent,,,,,,,
filename,audio_link,language_id,transcript,ground_truth_transcript,Remarks,,
hindi_25h__1780287143749_audio_file_13139416246_ch0_seg_0001.wav,https://naadh-stage.s3.ap-south-1.amazonaws.com/asr/hindi_25h__1780287143749_audio_file_13139416246_ch0_seg_0001.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA4WTO33UZYLJIAH5F%2F20260702%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20260702T072436Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=d3e5110acf5a9d321277307c990621ec17770426371f613dc9bc6ca9a2199838#,hi-IN,अलग भाई हाँ ये माड़ा कूड़े जदी सदे का सदी कराव पा,अलग भाई हाँ ये माड़ा कूड़े जदी सदे का सदी कराव पा,,,
hindi_25h__1780287143749_audio_file_13139416246_ch0_seg_0002.wav,https://naadh-stage.s3.ap-south-1.amazonaws.com/asr/hindi_25h__1780287143749_audio_file_13139416246_ch0_seg_0002.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA4WTO33UZYLJIAH5F%2F20260702%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20260702T072436Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=2af96f7ca3bb56bee590d32e42f713f4c99a493d7cd492098f21f445d01dd2bb#,hi-IN,बात है जो अभी यहाँ पर नहीं है ना वो है जो वो दूर रहता है हमारा हम अलग रहते हैं दोनों पति पत्नी अरे उन्हीं उन्हीं के लिए लिया उन्हीं ना जमा कराया पहले,बात है जो अभी यहाँ पर नहीं है ना वो है जो वो दूर रहता है हमारा हम अलग रहते हैं दोनों पति पत्नी अरे उन्हीं उन्हीं के लिए लिया उन्हीं ना जमा कराया पहले,Not proper audio Drop,,
hindi_25h__1780287143749_audio_file_13139416246_ch0_seg_0003.wav,https://naadh-stage.s3.ap-south-1.amazonaws.com/asr/hindi_25h__1780287143749_audio_file_13139416246_ch0_seg_0003.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA4WTO33UZYLJIAH5F%2F20260702%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20260702T072436Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=450f9b04be538f33879cddc703d694d557c5aaa8f4dc8d8fae9c38598f4c5dc5#,hi-IN,हाँ हाँ तो बच्चे के लिए दिया और बच्चे ने जमा भी करवाए और ये है जब हाँ अरे दो तीन चीज तो बल्कि रख दी उसमें,हाँ हाँ तो बच्चे के लिए दिया और बच्चे ने जमा भी करवाए और ये है जब हाँ अरे दो तीन चीज तो बल्कि रख दी उसमें,Perfect,,
hindi_25h__1780287143749_audio_file_13139416246_ch0_seg_0004.wav,https://naadh-stage.s3.ap-south-1.amazonaws.com/asr/hindi_25h__1780287143749_audio_file_13139416246_ch0_seg_0004.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA4WTO33UZYLJIAH5F%2F20260702%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20260702T072436Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=23607f40b2bd17f0f4de4e429048cbfbbbf414825c5cd749682cce347765e0c2#,hi-IN,परसों परसों आप फ़ोन कर देना और जमा जमा जमा करवा देंगे हम जमा करवा देंगे,परसों परसों आप फ़ोन कर देना और जमा जमा जमा करवा देंगे हम जमा करवा देंगे,,,
hindi_25h__1780287143749_audio_file_13139416246_ch0_seg_0005.wav,https://naadh-stage.s3.ap-south-1.amazonaws.com/asr/hindi_25h__1780287143749_audio_file_13139416246_ch0_seg_0005.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA4WTO33UZYLJIAH5F%2F20260702%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20260702T072436Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=e72bd2193ba320fe602f0a9079494be10e8ccbd9cb0f98a2ef801734e2072740#,hi-IN,वाह वाह नोटिस की जरूरत पड़ी पड़े सर अरे हमारे मेसोज आइडिया जो वो उसी के लिए लिया पैसा और पहले जमा करवाया कहीं यार और अब फिर बाद में जो दो तीन किस्तें रोक दी उसने है जो,वाह वाह नोटिस की जरूरत पड़ी पड़े सर अरे हमारे मेसोज आइडिया जो वो उसी के लिए लिया पैसा और पहले जमा करवाया कहीं यार और अब फिर बाद में जो दो तीन किस्तें रोक दी उसने है जो,Perfect at the same time audio not clear,,
hindi_25h__1780287143749_audio_file_13139416246_ch0_seg_0006.wav,https://naadh-stage.s3.ap-south-1.amazonaws.com/asr/hindi_25h__1780287143749_audio_file_13139416246_ch0_seg_0006.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA4WTO33UZYLJIAH5F%2F20260702%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20260702T072436Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=1dea65fecb2355672211e24e416e8fc66bb81617d4365afaf3801a7903ffbfae#,hi-IN,जी हाँ मैं दो दिन के अंदर अंदर है ये जो आपका क्लियर करवाता हूँ जी हाँ,जी हाँ मैं दो दिन के अंदर अंदर है ये जो आपका क्लियर करवाता हूँ जी हाँ,,,
hindi_25h__1780287143749_audio_file_13139416246_ch1_seg_0001.wav,https://naadh-stage.s3.ap-south-1.amazonaws.com/asr/hindi_25h__1780287143749_audio_file_13139416246_ch1_seg_0001.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA4WTO33UZYLJIAH5F%2F20260702%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20260702T072436Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=2caf8b03d24f30ed7b2d6d0dbbd111a3ff9f29f0b4f88ba37208b1edb467bda3#,hi-IN,ओके ओके सर बात करवाइए ग्राम ग्राम शक्ति के विभाग से रिशु बात करी सर आपने जो ग्रुप लोन लिया था ना ग्राम शक्ति से,ओके ओके सर बात करवाइए ग्राम ग्राम शक्ति के विभाग से रिशु बात करी सर आपने जो ग्रुप लोन लिया था ना ग्राम शक्ति से,Perfect,,
hindi_25h__1780287143749_audio_file_13139416246_ch1_seg_0002.wav,https://naadh-stage.s3.ap-south-1.amazonaws.com/asr/hindi_25h__1780287143749_audio_file_13139416246_ch1_seg_0002.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA4WTO33UZYLJIAH5F%2F20260702%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20260702T072436Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=1f1d1a5607bd677b0c131c4a1f164f63f85b071e20ebdda4ac67856ce61ecc70#,hi-IN,रेसू बात कर रही हूँ ग्राम सफ्ती से आपने जो लोन लिया था ना चौंतीस हज़ार तीन सौ का उसका पेमेंट क्यों नहीं कर रही हो,रेसू बात कर रही हूँ ग्राम सफ्ती से आपने जो लोन लिया था ना चौंतीस हज़ार तीन सौ का उसका पेमेंट क्यों नहीं कर रही हो,,,
hindi_25h__1780287143749_audio_file_13139416246_ch1_seg_0003.wav,https://naadh-stage.s3.ap-south-1.amazonaws.com/asr/hindi_25h__1780287143749_audio_file_13139416246_ch1_seg_0003.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA4WTO33UZYLJIAH5F%2F20260702%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20260702T072436Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=435485b79627fc3f46089d56f4b378216287f47ea7e9fbbcf34dce576882ca16#,hi-IN,आपके नाम का लीगल नोटिस जारी हुआ है मैडम कब तक पेमेंट होगा आपका या भेज दो नोटिस आपके पास,आपके नाम का लीगल नोटिस जारी हुआ है मैडम कब तक पेमेंट होगा आपका या भेज दो नोटिस आपके पास,Perfect,,
hindi_25h__1780287143749_audio_file_13139416246_ch1_seg_0004.wav,https://naadh-stage.s3.ap-south-1.amazonaws.com/asr/hindi_25h__1780287143749_audio_file_13139416246_ch1_seg_0004.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA4WTO33UZYLJIAH5F%2F20260702%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20260702T072436Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=59d9367cf0731927edb4719c589c2d49171f9b2158724a9402f905e568886f2e#,hi-IN,अरे भाई कब करवाओगे आप पेमेंट कितने दिन से आपका पेंडिंग अमाउंट है पता है आपको चार साल हो गए पाँच साल से पेंडिंग अमाउंट है आपका पाँच सालों को पाँच साल से कोई पेमेंट नहीं करवा रही हो,अरे भाई कब करवाओगे आप पेमेंट कितने दिन से आपका पेंडिंग अमाउंट है पता है आपको चार साल हो गए पाँच साल से पेंडिंग अमाउंट है आपका पाँच सालों को पाँच साल से कोई पेमेंट नहीं करवा रही हो,Perfect,,
hindi_25h__1780287143749_audio_file_13139416246_ch1_seg_0005.wav,https://naadh-stage.s3.ap-south-1.amazonaws.com/asr/hindi_25h__1780287143749_audio_file_13139416246_ch1_seg_0005.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA4WTO33UZYLJIAH5F%2F20260702%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20260702T072436Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=08b09ec74d99343c2ef0848ea8f621d6d06d4c53dea6a37df03c821b7b320f38#,hi-IN,कब करोगे पेमेंट कब बताओ कब करोगे नहीं तो हम नोटिस भेज देंगे फिर मत बोलिएगा मुझे बताया नहीं गया नोटिस भेज दिया फिर कोर्ट वगैरह जाना पड़ेगा आपको,कब करोगे पेमेंट कब बताओ कब करोगे नहीं तो हम नोटिस भेज देंगे फिर मत बोलिएगा मुझे बताया नहीं गया नोटिस भेज दिया फिर कोर्ट वगैरह जाना पड़ेगा आपको,Perfect,,
hindi_25h__1780287143749_audio_file_13139416246_ch1_seg_0006.wav,https://naadh-stage.s3.ap-south-1.amazonaws.com/asr/hindi_25h__1780287143749_audio_file_13139416246_ch1_seg_0006.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA4WTO33UZYLJIAH5F%2F20260702%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20260702T072436Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=109b0cbe21997136cd814b8c08d054a3b2b8e5111d4581934d0ec2a32147f458#,hi-IN,नहीं नहीं आप बताइए आज वो करवा सकते हो या नहीं करवा सकते अगर आज नहीं करवा सकते तो अभी मुझे क्लियर बता दीजिए मैं आपका केस आगे भेज दूंगी क्योंकि आपने पाँच साल से यही बहाने बता रहे हो ये वो पर पेमेंट कभी नहीं होता आपका,नहीं नहीं आप बताइए आज वो करवा सकते हो या नहीं करवा सकते अगर आज नहीं करवा सकते तो अभी मुझे क्लियर बता दीजिए मैं आपका केस आगे भेज दूंगी क्योंकि आपने पाँच साल से यही बहाने बता रहे हो ये वो पर पेमेंट कभी नहीं होता आपका,Perfect,,
hindi_25h__1780287143749_audio_file_13139416246_ch1_seg_0007.wav,https://naadh-stage.s3.ap-south-1.amazonaws.com/asr/hindi_25h__1780287143749_audio_file_13139416246_ch1_seg_0007.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA4WTO33UZYLJIAH5F%2F20260702%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20260702T072436Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=4b4fe342dc31cd0ba65721953d4563e3dce333def5bb87f33df7a52a39d94495#,hi-IN,नहीं नहीं नहीं नहीं करवाना नहीं है आपको कितनी बार कॉल किया सितम्बर में अक्टूबर में हर बार आपको कॉल जाती है हर बार आप यही बोलते हो करवाएंगे करवाएंगे लेकिन करवाते हो कभी,नहीं नहीं नहीं नहीं करवाना नहीं है आपको कितनी बार कॉल किया सितम्बर में अक्टूबर में हर बार आपको कॉल जाती है हर बार आप यही बोलते हो करवाएंगे करवाएंगे लेकिन करवाते हो कभी,Perfect,,
hindi_25h__1780287143749_audio_file_13139416246_ch1_seg_0008.wav,https://naadh-stage.s3.ap-south-1.amazonaws.com/asr/hindi_25h__1780287143749_audio_file_13139416246_ch1_seg_0008.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA4WTO33UZYLJIAH5F%2F20260702%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20260702T072436Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=15b64db38bd1eeb2fbc0d307096cb21940fe46257642eb631f1cf08260275322#,hi-IN,दो तीन महीने में ठीक है फिर कोई बात नहीं मैम कोई बात नहीं मैं आपको टीम के भेज रही हूँ आपके घर पर ठीक है आप उनसे डिस्कस कर लीजिएगा जो भी केस वग़ैरह होगा ठीक है,दो तीन महीने में ठीक है फिर कोई बात नहीं मैम कोई बात नहीं मैं आपको टीम के भेज रही हूँ आपके घर पर ठीक है आप उनसे डिस्कस कर लीजिएगा जो भी केस वग़ैरह होगा ठीक है,Perfect,,
hindi_25h__1780287143749_audio_file_13139416246_ch1_seg_0009.wav,https://naadh-stage.s3.ap-south-1.amazonaws.com/asr/hindi_25h__1780287143749_audio_file_13139416246_ch1_seg_0009.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA4WTO33UZYLJIAH5F%2F20260702%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20260702T072436Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=4aaeb02bdf94deccd9fc186dba741e7c20f321d96db4be1fc94c5932b5706798#,hi-IN,अरे आप तो कभी करोगे नई पेमेंट क्योंकि हमसे कहने से नहीं करोगे जब टीम आएगी ना आपके घर पे लोन लेने के लिए जब चार लोग तमाम देखेंगे गाँव में बोलेंगे इन्होंने लोन लिया था लोन भी नहीं जमा कर पा रहे हैं पाँच साल से जब उल्टी सीधी बात है ऐसे सुनाएंगे आपको,अरे आप तो कभी करोगे नई पेमेंट क्योंकि हमसे कहने से नहीं करोगे जब टीम आएगी ना आपके घर पे लोन लेने के लिए जब चार लोग तमाम देखेंगे गाँव में बोलेंगे इन्होंने लोन लिया था लोन भी नहीं जमा कर पा रहे हैं पाँच साल से जब उल्टी सीधी बात है ऐसे सुनाएंगे आपको,Perfect,,
hindi_25h__1780287143749_audio_file_13139416246_ch1_seg_0010.wav,https://naadh-stage.s3.ap-south-1.amazonaws.com/asr/hindi_25h__1780287143749_audio_file_13139416246_ch1_seg_0010.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA4WTO33UZYLJIAH5F%2F20260702%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20260702T072436Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=4bb1fec71faa8fac2ce038c3de40f709ed5400e660c0a44b090348061c467bcf#,hi-IN,आपने लिया चाहे जिसके लिए लिया तो अपनी पत्नी के नाम पर ही ना सुगना देवी के नाम पर लिया ना ना अपने लोन तो,आपने लिया चाहे जिसके लिए लिया तो अपनी पत्नी के नाम पर ही ना सुगना देवी के नाम पर लिया ना ना अपने लोन तो,Perfect,,
hindi_25h__1780287143749_audio_file_13139416246_ch1_seg_0011.wav,https://naadh-stage.s3.ap-south-1.amazonaws.com/asr/hindi_25h__1780287143749_audio_file_13139416246_ch1_seg_0011.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA4WTO33UZYLJIAH5F%2F20260702%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20260702T072436Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=37dbb95c9863f6d2bca7a10cb0e4bc3592ca3578e85381d7cc48275ea52eb358#,hi-IN,तो तो कार्य सुनिए आपने लोन लिया है,तो तो कार्य सुनिए आपने लोन लिया है,Perfect,,
hindi_25h__1780287143749_audio_file_13139416246_ch1_seg_0012.wav,https://naadh-stage.s3.ap-south-1.amazonaws.com/asr/hindi_25h__1780287143749_audio_file_13139416246_ch1_seg_0012.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA4WTO33UZYLJIAH5F%2F20260702%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20260702T072436Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=389caff61f9af562a72ac6c0c5d509939dacae6dbe1695cada19bedf83dca6a7#,hi-IN,आपने लोन लिया है सुगना देवी के नाम पर कार्रवाई किसके नाम पे होगी सुगना देवी के नाम पे और आपका जो अमाउंट जी आपने अमाउंट पेंडिंग कर रखा है ना ये आपका अमाउंट जो पेंडिंग है ये धीरे धीरे बढ़ रहा है घट नहीं रहा है सर,आपने लोन लिया है सुगना देवी के नाम पर कार्रवाई किसके नाम पे होगी सुगना देवी के नाम पे और आपका जो अमाउंट जी आपने अमाउंट पेंडिंग कर रखा है ना ये आपका अमाउंट जो पेंडिंग है ये धीरे धीरे बढ़ रहा है घट नहीं रहा है सर,Perfect,,
hindi_25h__1780287143749_audio_file_13139416246_ch1_seg_0013.wav,https://naadh-stage.s3.ap-south-1.amazonaws.com/asr/hindi_25h__1780287143749_audio_file_13139416246_ch1_seg_0013.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA4WTO33UZYLJIAH5F%2F20260702%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20260702T072436Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=52b3de7e71d7950db8555ef2bd4d3f1c7580b36cddf8cfb3e405ffbd88d32bf9#,hi-IN,फिर आप बोलोगे मेरा तो इतना कम बचा रहा बचा था आप इतना ज़्यादा कहाँ से हो गया तो सर क्या मतलब है आपका चार्जेस बढ़ रहे हैं आप जल्दी से जल्दी पेमेंट कर दीजिए बस मतलब बात ख़त्म है,फिर आप बोलोगे मेरा तो इतना कम बचा रहा बचा था आप इतना ज़्यादा कहाँ से हो गया तो सर क्या मतलब है आपका चार्जेस बढ़ रहे हैं आप जल्दी से जल्दी पेमेंट कर दीजिए बस मतलब बात ख़त्म है,Perfect,,
hindi_25h__1780287143749_audio_file_13139416246_ch1_seg_0014.wav,https://naadh-stage.s3.ap-south-1.amazonaws.com/asr/hindi_25h__1780287143749_audio_file_13139416246_ch1_seg_0014.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA4WTO33UZYLJIAH5F%2F20260702%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20260702T072436Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=a0afa1420b95db4664d139fc2d37b2a14f4cd2167637cd2c010f8074b8fcbcb6#,hi-IN,अगर आप पे घर पर सर आप ही बताइए अगर बैंक वाले आपके घर पे आए चार लोग आपके घर पे आएंगे बोलेंगे आपने बैंक का पैसा खा के बैठ गए हो आप पेमेंट नहीं जमा करो गाँव के मोहल्ले वाले सब लोग खड़े होकर तमाशा आपका देखेंगे ठीक है,अगर आप पे घर पर सर आप ही बताइए अगर बैंक वाले आपके घर पे आए चार लोग आपके घर पे आएंगे बोलेंगे आपने बैंक का पैसा खा के बैठ गए हो आप पेमेंट नहीं जमा करो गाँव के मोहल्ले वाले सब लोग खड़े होकर तमाशा आपका देखेंगे ठीक है,Perfect,,
hindi_25h__1780287143749_audio_file_13139416246_ch1_seg_0015.wav,https://naadh-stage.s3.ap-south-1.amazonaws.com/asr/hindi_25h__1780287143749_audio_file_13139416246_ch1_seg_0015.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA4WTO33UZYLJIAH5F%2F20260702%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20260702T072436Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=a7266eeee7e519f4049ed181bb4441bcabcdb543e5332d3f7b030bfa9fb14051#,hi-IN,आपको अच्छा लग रहा है आपसे बोलेंगे कि कोर्ट चलो ठीक है कोर्ट में आपको केस ले जाएंगे बैंक का तो आप जानते हो क्या हाल होता है बैंक वाले एक रुपया अपना नहीं छोड़ते हैं ना,आपको अच्छा लग रहा है आपसे बोलेंगे कि कोर्ट चलो ठीक है कोर्ट में आपको केस ले जाएंगे बैंक का तो आप जानते हो क्या हाल होता है बैंक वाले एक रुपया अपना नहीं छोड़ते हैं ना,Perfect,,
hindi_25h__1780287143749_audio_file_13139416246_ch1_seg_0016.wav,https://naadh-stage.s3.ap-south-1.amazonaws.com/asr/hindi_25h__1780287143749_audio_file_13139416246_ch1_seg_0016.wav?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Credential=AKIA4WTO33UZYLJIAH5F%2F20260702%2Fap-south-1%2Fs3%2Faws4_request&X-Amz-Date=20260702T072436Z&X-Amz-Expires=604800&X-Amz-SignedHeaders=host&X-Amz-Signature=0de2fb7a2a7b9353fb8fa8421b7d4e55fb2913f7cfed4f8e8daf58e29079c782#,hi-IN,अगर वो बोलेंगे आपसे क्या करोगे फिर आप आपका तो सिर झुक जाएगा ना बेइज्जती होगी गाँव में आपकी बीस हज़ारों में भी,अगर वो बोलेंगे आपसे क्या करोगे फिर आप आपका तो सिर झुक जाएगा ना बेइज्जती होगी गाँव में आपकी बीस हज़ारों में भी,,,
