filename,iteration,duration_s,input_samples,vad_segments,vad_output_samples,speech_ratio,vad_ms,denoise_ms,total_pre_ms,stt_ms,expected_text,predicted_text,wer,stt_error
01_iisc_vaaniproject_m_biha.wav,0,2.240,35840,1,34784,0.9705,100.529,896.839,997.672,,विद्यापति आश्रम है,,,
01_iisc_vaaniproject_m_biha.wav,1,2.240,35840,1,34784,0.9705,28.983,88.113,117.365,,विद्यापति आश्रम है,,,
01_iisc_vaaniproject_m_biha.wav,2,2.240,35840,1,34784,0.9705,26.768,88.715,115.577,,विद्यापति आश्रम है,,,
01_iisc_vaaniproject_m_biha.wav,3,2.240,35840,1,34784,0.9705,28.376,93.058,121.536,,विद्यापति आश्रम है,,,
01_iisc_vaaniproject_m_biha.wav,4,2.240,35840,1,34784,0.9705,26.663,89.561,116.297,,विद्यापति आश्रम है,,,
01_iisc_vaaniproject_m_biha.wav,5,2.240,35840,1,34784,0.9705,26.550,90.469,117.094,,विद्यापति आश्रम है,,,
01_iisc_vaaniproject_m_biha.wav,6,2.240,35840,1,34784,0.9705,26.543,90.273,116.889,,विद्यापति आश्रम है,,,
01_iisc_vaaniproject_m_biha.wav,7,2.240,35840,1,34784,0.9705,26.510,89.928,116.522,,विद्यापति आश्रम है,,,
01_iisc_vaaniproject_m_biha.wav,8,2.240,35840,1,34784,0.9705,27.302,89.201,116.596,,विद्यापति आश्रम है,,,
01_iisc_vaaniproject_m_biha.wav,9,2.240,35840,1,34784,0.9705,26.527,90.825,117.431,,विद्यापति आश्रम है,,,
01_iisc_vaaniproject_m_biha.wav,10,2.240,35840,1,34784,0.9705,27.737,88.736,116.543,,विद्यापति आश्रम है,,,
01_iisc_vaaniproject_m_biha.wav,11,2.240,35840,1,34784,0.9705,26.356,90.427,116.861,,विद्यापति आश्रम है,,,
01_iisc_vaaniproject_m_biha.wav,12,2.240,35840,1,34784,0.9705,27.249,89.985,117.315,,विद्यापति आश्रम है,,,
01_iisc_vaaniproject_m_biha.wav,13,2.240,35840,1,34784,0.9705,26.842,89.916,116.823,,विद्यापति आश्रम है,,,
01_iisc_vaaniproject_m_biha.wav,14,2.240,35840,1,34784,0.9705,26.893,88.657,115.620,,विद्यापति आश्रम है,,,
01_iisc_vaaniproject_m_biha.wav,15,2.240,35840,1,34784,0.9705,26.723,90.320,117.124,,विद्यापति आश्रम है,,,
01_iisc_vaaniproject_m_biha.wav,16,2.240,35840,1,34784,0.9705,27.761,95.314,123.162,,विद्यापति आश्रम है,,,
01_iisc_vaaniproject_m_biha.wav,17,2.240,35840,1,34784,0.9705,26.753,90.709,117.534,,विद्यापति आश्रम है,,,
01_iisc_vaaniproject_m_biha.wav,18,2.240,35840,1,34784,0.9705,26.502,89.117,115.683,,विद्यापति आश्रम है,,,
01_iisc_vaaniproject_m_biha.wav,19,2.240,35840,1,34784,0.9705,26.683,88.152,114.897,,विद्यापति आश्रम है,,,
02_iisc_vaaniproject_m_biha.wav,0,2.120,33920,1,32864,0.9689,26.050,86.924,113.056,,घर नजर आ रहा है,,,
02_iisc_vaaniproject_m_biha.wav,1,2.120,33920,1,32864,0.9689,25.674,85.527,111.274,,घर नजर आ रहा है,,,
02_iisc_vaaniproject_m_biha.wav,2,2.120,33920,1,32864,0.9689,25.472,84.459,109.997,,घर नजर आ रहा है,,,
02_iisc_vaaniproject_m_biha.wav,3,2.120,33920,1,32864,0.9689,25.361,83.257,108.681,,घर नजर आ रहा है,,,
02_iisc_vaaniproject_m_biha.wav,4,2.120,33920,1,32864,0.9689,25.195,83.185,108.458,,घर नजर आ रहा है,,,
02_iisc_vaaniproject_m_biha.wav,5,2.120,33920,1,32864,0.9689,26.254,83.400,109.726,,घर नजर आ रहा है,,,
02_iisc_vaaniproject_m_biha.wav,6,2.120,33920,1,32864,0.9689,25.914,83.858,109.840,,घर नजर आ रहा है,,,
02_iisc_vaaniproject_m_biha.wav,7,2.120,33920,1,32864,0.9689,25.712,83.787,109.566,,घर नजर आ रहा है,,,
02_iisc_vaaniproject_m_biha.wav,8,2.120,33920,1,32864,0.9689,25.442,84.447,109.952,,घर नजर आ रहा है,,,
02_iisc_vaaniproject_m_biha.wav,9,2.120,33920,1,32864,0.9689,26.174,85.422,111.663,,घर नजर आ रहा है,,,
02_iisc_vaaniproject_m_biha.wav,10,2.120,33920,1,32864,0.9689,25.523,84.278,109.874,,घर नजर आ रहा है,,,
02_iisc_vaaniproject_m_biha.wav,11,2.120,33920,1,32864,0.9689,25.670,86.302,112.037,,घर नजर आ रहा है,,,
02_iisc_vaaniproject_m_biha.wav,12,2.120,33920,1,32864,0.9689,25.558,84.779,110.397,,घर नजर आ रहा है,,,
02_iisc_vaaniproject_m_biha.wav,13,2.120,33920,1,32864,0.9689,25.766,84.552,110.379,,घर नजर आ रहा है,,,
02_iisc_vaaniproject_m_biha.wav,14,2.120,33920,1,32864,0.9689,25.600,84.274,109.934,,घर नजर आ रहा है,,,
02_iisc_vaaniproject_m_biha.wav,15,2.120,33920,1,32864,0.9689,25.207,84.231,109.497,,घर नजर आ रहा है,,,
02_iisc_vaaniproject_m_biha.wav,16,2.120,33920,1,32864,0.9689,26.416,84.066,110.540,,घर नजर आ रहा है,,,
02_iisc_vaaniproject_m_biha.wav,17,2.120,33920,1,32864,0.9689,25.295,84.020,109.376,,घर नजर आ रहा है,,,
02_iisc_vaaniproject_m_biha.wav,18,2.120,33920,1,32864,0.9689,25.883,84.006,109.948,,घर नजर आ रहा है,,,
02_iisc_vaaniproject_m_biha.wav,19,2.120,33920,1,32864,0.9689,25.305,84.328,109.694,,घर नजर आ रहा है,,,
03_iisc_vaaniproject_k_utta.wav,0,3.966,63457,1,63425,0.9995,47.567,163.044,210.689,,यह लाल रंग की एक किताब है जो कि पंडित लोग,,,
03_iisc_vaaniproject_k_utta.wav,1,3.966,63457,1,63425,0.9995,47.269,159.217,206.557,,यह लाल रंग की एक किताब है जो कि पंडित लोग,,,
03_iisc_vaaniproject_k_utta.wav,2,3.966,63457,1,63425,0.9995,46.690,160.678,207.440,,यह लाल रंग की एक किताब है जो कि पंडित लोग,,,
03_iisc_vaaniproject_k_utta.wav,3,3.966,63457,1,63425,0.9995,46.564,159.700,206.337,,यह लाल रंग की एक किताब है जो कि पंडित लोग,,,
03_iisc_vaaniproject_k_utta.wav,4,3.966,63457,1,63425,0.9995,46.715,159.837,206.624,,यह लाल रंग की एक किताब है जो कि पंडित लोग,,,
03_iisc_vaaniproject_k_utta.wav,5,3.966,63457,1,63425,0.9995,46.756,160.891,207.719,,यह लाल रंग की एक किताब है जो कि पंडित लोग,,,
03_iisc_vaaniproject_k_utta.wav,6,3.966,63457,1,63425,0.9995,46.431,163.775,210.279,,यह लाल रंग की एक किताब है जो कि पंडित लोग,,,
03_iisc_vaaniproject_k_utta.wav,7,3.966,63457,1,63425,0.9995,47.502,161.366,208.944,,यह लाल रंग की एक किताब है जो कि पंडित लोग,,,
03_iisc_vaaniproject_k_utta.wav,8,3.966,63457,1,63425,0.9995,47.060,160.332,207.474,,यह लाल रंग की एक किताब है जो कि पंडित लोग,,,
03_iisc_vaaniproject_k_utta.wav,9,3.966,63457,1,63425,0.9995,46.886,160.145,207.116,,यह लाल रंग की एक किताब है जो कि पंडित लोग,,,
03_iisc_vaaniproject_k_utta.wav,10,3.966,63457,1,63425,0.9995,47.722,159.867,207.669,,यह लाल रंग की एक किताब है जो कि पंडित लोग,,,
03_iisc_vaaniproject_k_utta.wav,11,3.966,63457,1,63425,0.9995,46.979,159.866,206.919,,यह लाल रंग की एक किताब है जो कि पंडित लोग,,,
03_iisc_vaaniproject_k_utta.wav,12,3.966,63457,1,63425,0.9995,46.733,160.473,207.290,,यह लाल रंग की एक किताब है जो कि पंडित लोग,,,
03_iisc_vaaniproject_k_utta.wav,13,3.966,63457,1,63425,0.9995,46.839,160.256,207.173,,यह लाल रंग की एक किताब है जो कि पंडित लोग,,,
03_iisc_vaaniproject_k_utta.wav,14,3.966,63457,1,63425,0.9995,46.901,164.592,211.573,,यह लाल रंग की एक किताब है जो कि पंडित लोग,,,
