sarvam_name,source_name,url,audio_path,row_indices
000000_recording17064968205186586265__cfb528247b.mp3,recording17064968205186586265__cfb528247b.mp3,https://crworkspace.s3.ap-south-1.amazonaws.com/crdhs/private/2024/9/23/recording17064968205186586265.mp3,outputs/smfg_rural_sheet4_sarvam/downloaded_audio/recording17064968205186586265__cfb528247b.mp3,[1]
000001_recording11295242329244464157__a308e9f5ca.mp3,recording11295242329244464157__a308e9f5ca.mp3,https://crworkspace.s3.ap-south-1.amazonaws.com/crdhs/private/2024/9/20/recording11295242329244464157.mp3,outputs/smfg_rural_sheet4_sarvam/downloaded_audio/recording11295242329244464157__a308e9f5ca.mp3,[2]
000002_recording13190767244591391920__5aae4088bc.mp3,recording13190767244591391920__5aae4088bc.mp3,https://crworkspace.s3.ap-south-1.amazonaws.com/crdhs/private/2024/9/21/recording13190767244591391920.mp3,outputs/smfg_rural_sheet4_sarvam/downloaded_audio/recording13190767244591391920__5aae4088bc.mp3,[3]
000003_recording17074660416320387775__5ed224d2c6.mp3,recording17074660416320387775__5ed224d2c6.mp3,https://crworkspace.s3.ap-south-1.amazonaws.com/crdhs/private/2024/9/23/recording17074660416320387775.mp3,outputs/smfg_rural_sheet4_sarvam/downloaded_audio/recording17074660416320387775__5ed224d2c6.mp3,[4]
000004_recording4873533846570191476__b4ac1ead24.mp3,recording4873533846570191476__b4ac1ead24.mp3,https://crworkspace.s3.ap-south-1.amazonaws.com/crdhs/private/2024/9/20/recording4873533846570191476.mp3,outputs/smfg_rural_sheet4_sarvam/downloaded_audio/recording4873533846570191476__b4ac1ead24.mp3,[5]
000005_recording13936630826214435429__5c21f4f1ee.mp3,recording13936630826214435429__5c21f4f1ee.mp3,https://crworkspace.s3.ap-south-1.amazonaws.com/crdhs/private/2024/9/20/recording13936630826214435429.mp3,outputs/smfg_rural_sheet4_sarvam/downloaded_audio/recording13936630826214435429__5c21f4f1ee.mp3,[6]
000006_recording9651323611441130374__9f5da0e791.mp3,recording9651323611441130374__9f5da0e791.mp3,https://crworkspace.s3.ap-south-1.amazonaws.com/crdhs/private/2024/9/27/recording9651323611441130374.mp3,outputs/smfg_rural_sheet4_sarvam/downloaded_audio/recording9651323611441130374__9f5da0e791.mp3,[7]
000007_recording9249774589920181260__9a93fcfdba.mp3,recording9249774589920181260__9a93fcfdba.mp3,https://crworkspace.s3.ap-south-1.amazonaws.com/crdhs/private/2024/9/26/recording9249774589920181260.mp3,outputs/smfg_rural_sheet4_sarvam/downloaded_audio/recording9249774589920181260__9a93fcfdba.mp3,[8]
000008_recording816373413494332300__ddaf59c05c.mp3,recording816373413494332300__ddaf59c05c.mp3,https://crworkspace.s3.ap-south-1.amazonaws.com/crdhs/private/2024/9/23/recording816373413494332300.mp3,outputs/smfg_rural_sheet4_sarvam/downloaded_audio/recording816373413494332300__ddaf59c05c.mp3,[9]
000009_recording6587675024861225234__66bb0f041f.mp3,recording6587675024861225234__66bb0f041f.mp3,https://crworkspace.s3.ap-south-1.amazonaws.com/crdhs/private/2024/9/25/recording6587675024861225234.mp3,outputs/smfg_rural_sheet4_sarvam/downloaded_audio/recording6587675024861225234__66bb0f041f.mp3,[10]
